Brand,avg_Rating,number_Perfumes
Ensar Oud / Oriscent,8.382795698924731,93
Nabeel,8.272727272727273,22
Clive Christian,8.144444444444444,45
Roja Parfums,8.141525423728813,118
Chanel,8.10722891566265,83
Annette Neuffer,8.095,20
Widian / AJ Arabia,8.09047619047619,21
Aaron Terence Hughes,8.088524590163935,61
Areej Le Doré,8,24
Teone Reinthal Natural Perfume,7.924,25
Stéphane Humbert Lucas,7.862962962962963,27
Amouage,7.855434782608696,92
Jean Patou,7.85,28
Coty,7.844,25
Swiss Arabian,7.835,40
Houbigant,7.834615384615384,26
Guerlain,7.801689189189189,296
Ormonde Jayne,7.783333333333333,60
Ex Nihilo,7.7725,40
Afnan Perfumes,7.76551724137931,29
