"HID","UID","Name","CommonName","TaxID","Count","Rank","Group","Phylum","Class","Order","Family","Genus"
37868472,718315,"Anas platyrhynchos","Mallard duck",8839,273,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
53236820,731614,"Pavo cristatus","Indian peafowl; common peafowl; blue peafowl",9049,33,"species","Birds","Chordata","Aves","Galliformes","Phasianidae","Pavo"
45740440,410522,"Carduelis carduelis","Goldfinch",37600,6,"species","Birds","Chordata","Aves","Passeriformes","Fringillidae","Carduelis"
18710172,405901,"Porphyrio melanotus","Pukeko",72013,1361,"species","Birds","Chordata","Aves","Gruiformes","Rallidae","Porphyrio"
17982237,701552,"Carduelis carduelis","Goldfinch",37600,20,"species","Birds","Chordata","Aves","Passeriformes","Fringillidae","Carduelis"
2388784,505102,"Zosterops","White eye",36298,13,"genus","Birds","Chordata","Aves","Passeriformes","Zosteropidae","Zosterops"
28089640,709496,"Anas platyrhynchos","Mallard duck",8839,463,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
15880399,519089,"Fringilla coelebs","Common chaffinch",37598,22,"species","Birds","Chordata","Aves","Passeriformes","Fringillidae","Fringilla"
56352015,519022,"Anas platyrhynchos","Mallard duck",8839,602,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
19758733,525710,"Nestor","Kaka or Kea",176042,702,"genus","Birds","Chordata","Aves","Psittaciformes","Psittacidae","Nestor"
26066405,701944,"Anas platyrhynchos","Mallard duck",8839,701,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
26422267,709123,"Anas platyrhynchos","Mallard duck",8839,366,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
33391751,536098,"Fringilla coelebs","Common chaffinch",37598,163,"species","Birds","Chordata","Aves","Passeriformes","Fringillidae","Fringilla"
28044294,709741,"Anas platyrhynchos","Mallard duck",8839,352,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
39818544,703346,"Tadorna variegata","Paradise Shelduck",107024,68,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Tadorna"
36977600,536383,"Tadorna variegata","Paradise Shelduck",107024,38,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Tadorna"
15348790,400891,"Fringilla coelebs","Common chaffinch",37598,27,"species","Birds","Chordata","Aves","Passeriformes","Fringillidae","Fringilla"
1888451,504064,"Aythya","Diving ducks",30384,12,"genus","Birds","Chordata","Aves","Anseriformes","Anatidae","Aythya"
16353783,402072,"Tadorna variegata","Paradise Shelduck",107024,5,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Tadorna"
25067957,712682,"Anas chlorotis or gracilis","Brown or grey teal",10000052,37,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
29391825,405956,"Turdus philomelos","Song thrush",127946,16,"species","Birds","Chordata","Aves","Passeriformes","Turdidae","Turdus"
29741933,715092,"Anas platyrhynchos","Mallard duck",8839,1022,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
12348833,515936,"Anas platyrhynchos","Mallard duck",8839,137,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
2130632,505052,"Anas platyrhynchos","Mallard duck",8839,95,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
42635704,724611,"Anas platyrhynchos","Mallard duck",8839,1595,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
20244669,525676,"Porphyrio melanotus","Pukeko",72013,27,"species","Birds","Chordata","Aves","Gruiformes","Rallidae","Porphyrio"
1903699,504447,"Passer","Sparrow",9159,138,"genus","Birds","Chordata","Aves","Passeriformes","Passeridae","Passer"
38170920,720123,"Todiramphus sanctus vagans","Sacred kingfisher",497867,22,"subspecies","Birds","Chordata","Aves","Coraciiformes","Alcedinidae","Todiramphus"
2514297,504591,"Anas platyrhynchos","Mallard duck",8839,1608,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
8662169,515201,"Passer","Sparrow",9159,20,"genus","Birds","Chordata","Aves","Passeriformes","Passeridae","Passer"
2121221,504713,"Anas platyrhynchos","Mallard duck",8839,1999,"species","Birds","Chordata","Aves","Anseriformes","Anatidae","Anas"
16361096,402073,"Fringilla coelebs","Common chaffinch",37598,66,"species","Birds","Chordata","Aves","Passeriformes","Fringillidae","Fringilla"
14152760,402443,"Prosthemadera novaeseelandiae","Tui",266374,54,"species","Birds","Chordata","Aves","Passeriformes","Meliphagidae","Prosthemadera"
