Name	CommonName	TaxID	Count	Rank	Group	Phylum	Class	Order	Family	Genus
Anas platyrhynchos	Mallard duck	8839	273	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Pavo cristatus	Indian peafowl; common peafowl; blue peafowl	9049	33	species	Birds	Chordata	Aves	Galliformes	Phasianidae	Pavo
Carduelis carduelis	Goldfinch	37600	6	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Carduelis
Porphyrio melanotus	Pukeko	72013	1361	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Carduelis carduelis	Goldfinch	37600	20	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Carduelis
Zosterops	White eye	36298	13	genus	Birds	Chordata	Aves	Passeriformes	Zosteropidae	Zosterops
Anas platyrhynchos	Mallard duck	8839	463	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Fringilla coelebs	Common chaffinch	37598	22	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Fringilla
Anas platyrhynchos	Mallard duck	8839	602	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Nestor	Kaka or Kea	176042	702	genus	Birds	Chordata	Aves	Psittaciformes	Psittacidae	Nestor
Anas platyrhynchos	Mallard duck	8839	701	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	366	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Fringilla coelebs	Common chaffinch	37598	163	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Fringilla
Anas platyrhynchos	Mallard duck	8839	352	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Tadorna variegata	Paradise Shelduck	107024	68	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Tadorna
Tadorna variegata	Paradise Shelduck	107024	38	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Tadorna
Fringilla coelebs	Common chaffinch	37598	27	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Fringilla
Aythya	Diving ducks	30384	12	genus	Birds	Chordata	Aves	Anseriformes	Anatidae	Aythya
Tadorna variegata	Paradise Shelduck	107024	5	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Tadorna
Anas chlorotis or gracilis	Brown or grey teal	10000052	37	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Turdus philomelos	Song thrush	127946	16	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Anas platyrhynchos	Mallard duck	8839	1022	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	137	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	95	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	1595	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Porphyrio melanotus	Pukeko	72013	27	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Passer	Sparrow	9159	138	genus	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Todiramphus sanctus vagans	Sacred kingfisher	497867	22	subspecies	Birds	Chordata	Aves	Coraciiformes	Alcedinidae	Todiramphus
Anas platyrhynchos	Mallard duck	8839	1608	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
