"SID","UID","Latitude","Longitude","CollectionDate","VolumeFilteredML","DeploymentDuration","ClientSampleID","EnvironmentType","TICI","TICIVersion","TICINoSeqs","TICIQuantile","Report","Region","District"
30140,"100038",-38.0474831,178.1233815,"2022-12-07","1000","","Mata River at Pouturu Br","River/Stream",98.93,"Riverine V1",237,0.48,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/85c2e3c908c6e033.html","Gisborne","Gisborne"
30141,"100039",-38.0474831,178.1233815,"2022-12-07","1000","","Mata River at Pouturu Br","River/Stream",99.04,"Riverine V1",188,0.49,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/85c2e3c908c6e033.html","Gisborne","Gisborne"
30142,"100040",-38.0474831,178.1233815,"2022-12-07","1000","","Mata River at Pouturu Br","River/Stream",101.25,"Riverine V1",178,0.52,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/85c2e3c908c6e033.html","Gisborne","Gisborne"
30143,"100041",-38.0474831,178.1233815,"2022-12-07","1000","","Mata River at Pouturu Br","River/Stream",98.5,"Riverine V1",234,0.48,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/85c2e3c908c6e033.html","Gisborne","Gisborne"
30144,"100042",-38.0474831,178.1233815,"2022-12-07","1000","","Mata River at Pouturu Br","River/Stream",98.62,"Riverine V1",246,0.48,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/85c2e3c908c6e033.html","Gisborne","Gisborne"
30145,"100043",-38.0474831,178.1233815,"2022-12-07","1000","","Mata River at Pouturu Br","River/Stream",96.4,"Riverine V1",162,0.43,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/85c2e3c908c6e033.html","Gisborne","Gisborne"
39942,"100061",-38.107167,178.344759,"2023-05-05","1200","","Waima","River/Stream",100.77,"Riverine V1",315,0.52,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/9b9380f0d7df88b5.html","Gisborne","Gisborne"
39943,"100062",-38.107167,178.344759,"2023-05-05","1200","","Waima","River/Stream",100.43,"Riverine V1",327,0.51,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/9b9380f0d7df88b5.html","Gisborne","Gisborne"
39947,"100063",-38.106794,178.344054,"2023-05-05","1200","","Upstream of Waima Stream (Trib)","River/Stream",101.59,"Riverine V1",200,0.53,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/0f0b421d08966218.html","Gisborne","Gisborne"
39946,"100064",-38.106794,178.344054,"2023-05-05","1200","","Upstream of Waima Stream (Trib)","River/Stream",102.57,"Riverine V1",245,0.53,"https://s3.ap-southeast-2.amazonaws.com/wilderlab.openwaters/reports/0f0b421d08966218.html","Gisborne","Gisborne"
